Id,Label,id_artista,popularidad,generos_musicales,genero,Grado,Intermediatez,Cercania,Grado,Intermediatez,Cercania
Omar Varela,Omar Varela,spotify:artist:5xIOUIBQhGFX7HIj8lhdyU,70,[],No se el género,64,0.0131377424782404,0.2218135295058372,64,0.01313774247824044,0.2218135295058372
Papichamp,Papichamp,spotify:artist:1qoJTYkRvsRJMTOxnUnpNW,55,"['Trap', 'Cumbia']",male,15,8.760616559297423e-05,0.1766428935303107,15,8.760616559297423e-05,0.17664289353031074
Perro Primo,Perro Primo,spotify:artist:4MUsDaGK0nPDJvYSoaoFUA,57,['Cumbia'],male,17,6.063419510676726e-06,0.1734617308654327,17,6.063419510676726e-06,0.1734617308654327
Rodrigo,Rodrigo,spotify:artist:235Vf4hkmwvxjVEMuCbRxm,59,"['Cumbia', 'Rock']",male,4,0.0011758508850389,0.2213180149992021,4,0.001175850885038944,0.22131801499920217
TINI,TINI,spotify:artist:7vXDAI8JwjW531ouMGbfcp,77,['Pop'],female,9,0.000957168850391,0.2027481362373921,9,0.000957168850391022,0.20274813623739218
Nestor En Bloque,Nestor En Bloque,spotify:artist:2to8xMgnoxHCXPF7eWJPvg,56,['Cumbia'],male,5,0.0012922151150836,0.1947486661050266,5,0.0012922151150836362,0.19474866610502667
Fidel Nadal,Fidel Nadal,spotify:artist:7l2wptrNdI4wEHxTlWa6SS,48,"['Rock', 'Punk', 'Reggae', 'Alternative']",male,15,0.0089808596258628,0.2151388242593454,15,0.008980859625862864,0.21513882425934544
Damas Gratis,Damas Gratis,spotify:artist:3YeBTR1Q1rUxKguz4jP6UV,63,['Cumbia'],No se el género,13,0.0118390853626838,0.2404229502513434,13,0.011839085362683847,0.2404229502513434
Papu DJ,Papu DJ,spotify:artist:1Z7q2glJYLsPpPoPIgBjdE,52,['Cumbia'],No se el género,8,0.0032178337036589,0.1974096214062055,8,0.003217833703658976,0.19740962140620552
Bruno LC,Bruno LC,spotify:artist:5XUp43SjeL84EDkWoCG3qR,53,['Cumbia'],male,10,0.0,0.1740494415861463,10,0.0,0.17404944158614633
Zato DJ,Zato DJ,spotify:artist:75VwO8amb6eCuE9gYagNZZ,43,['Cumbia'],male,5,0.001566371500816,0.1732234294991882,5,0.0015663715008160917,0.1732234294991882
Seba TC,Seba TC,spotify:artist:6W8GoLLEJXK5EvU1TcaYI2,22,[],No se el género,3,0.0,0.1730073593613571,3,0.0,0.1730073593613571
Rusherking,Rusherking,spotify:artist:3Apb2lGmGJaBmr0TTBJvIZ,70,['Trap'],male,16,0.0027125592806441,0.2247245625405055,16,0.0027125592806441297,0.22472456254050552
Maria Becerra,Maria Becerra,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,81,"['Trap', 'Pop']",female,12,0.0020962601187885,0.2182190056639396,12,0.0020962601187885393,0.2182190056639396
