Id,Label,timeset,id_artista,popularidad,generos_musicales,genero,louvain,infomap,modularity_class
Bersuit Vergarabat,Bersuit Vergarabat,,spotify:artist:6MxyNXnnmwQwdW2PD0gXYO,60,"['Rock', 'Alternative']",NA,1,70,6
Liliana Herrero,Liliana Herrero,,spotify:artist:6iqeypk1XRa2zQVRcIVmlF,32,"['Folklore', 'Rock']",female,4,72,6
Lito Vitale,Lito Vitale,,spotify:artist:7lw1BVWquad5hKtDPU26JG,41,"['Jazz', 'Tango', 'Rock']",male,3,1,5
Juanse,Juanse,,spotify:artist:5AQlQBU9LCmQwReukeom2I,32,['Rock'],male,1,233,6
Ricardo Mollo,Ricardo Mollo,,spotify:artist:7M6qgWRcVoBqgkczMPT1x7,48,['Rock'],male,1,26,6
Franco Luciani,Franco Luciani,,spotify:artist:4BWj4rAdhcYB8aQXfnzfHy,27,"['Jazz', 'Tango', 'Folklore']",NA,3,108,6
Rolando Sartorio,Rolando Sartorio,,spotify:artist:7p5juUWSPwGbJH4BI3n8u1,29,['Rock'],male,1,70,6
Raly Barrionuevo,Raly Barrionuevo,,spotify:artist:0mdD8YXAyJDJ2BHxIKF0Yf,49,"['Folklore', 'Rock']",male,2,4,6
Soledad,Soledad,,spotify:artist:0K59Fm1y7s3j498ueS4qzY,59,"['Folklore', 'Rock']",female,1,158,5
Axel,Axel,,spotify:artist:32x1uogH2zajP85pzZAtuE,56,['Pop'],male,1,104,5
León Gieco,León Gieco,,spotify:artist:5yoimVE1rbc3kAx4uwr7eq,51,"['Folklore', 'Rock', 'Alternative']",male,1,73,6
Pedro Aznar,Pedro Aznar,,spotify:artist:2FFrhWZS9vJsh2UvxYPRr6,54,"['Jazz', 'Pop', 'Tango', 'Rock', 'Alternative']",male,1,54,6
David Lebón,David Lebón,,spotify:artist:48Idb5uZga8diRAMTc9q3E,46,['Rock'],male,1,38,6
Juan Carlos Baglietto,Juan Carlos Baglietto,,spotify:artist:1Mt6JeVWV9Tvgk8ercp5O9,45,"['Pop', 'Folklore', 'Rock']",male,3,70,5
Marcela Morelo,Marcela Morelo,,spotify:artist:63xFjf6Ww22O5gHrBP79G9,51,['Pop'],female,1,104,6
Los Alonsitos,Los Alonsitos,,spotify:artist:1sObDTvhRtaW8yjty7sT7H,37,"['Chamame', 'Folklore']",NA,1,234,6
Jorge Fandermole,Jorge Fandermole,,spotify:artist:4l6qncc7ne4yU7z9i1Mtet,36,"['Folklore', 'Rock']",male,3,109,5
Mercedes Sosa,Mercedes Sosa,,spotify:artist:2HvyR5FsU37QMqVzIbGwl7,57,"['Folklore', 'Rock']",female,3,8,6
Brian Taylor,Brian Taylor,,spotify:artist:21dDxmfnJOLAHZ41gyXqIL,1,[],male,0,223,0
MANU OLIVA,MANU OLIVA,,spotify:artist:48nIO59mzn0UWSrh73T43N,36,[],male,0,37,13
Baltasar Comotto,Baltasar Comotto,,spotify:artist:0C9GmkE2ni3bXFaJbHw01b,30,"['Rock', 'Alternative']",male,0,37,13
QuixSmell,QuixSmell,,spotify:artist:0MrBxgZbiw0uUO3NUqWFKp,6,[],male,0,102,0
TAILS,TAILS,,spotify:artist:0LCbbe7pXn19Ecz0jLJkl2,43,[],male,0,101,0
ARTIX!,ARTIX!,,spotify:artist:2d7Oro82tVznMBYXDoGiHy,23,[],male,0,74,0
Poncho,Poncho,,spotify:artist:4ADdzb8h9qQTE8XPmSxY8r,34,"['Pop', 'Electronica', 'Alternative']",NA,1,9,13
Odino Faccia,Odino Faccia,,spotify:artist:6hFoJyBrrgb02Ajs1UKIe2,23,[],NA,1,15,6
XXL Irione,XXL Irione,,spotify:artist:4xqLeiTEE5VmPu5nQFWjHY,32,['HipHop'],male,2,225,13
Junior P,Junior P,,spotify:artist:6AqDuHffz5nfWgsZFp9pb9,2,['Reggae'],NA,2,226,13
Joan Sprei,Joan Sprei,,spotify:artist:0QyJKIHzo2iUJFwSg5YfhW,9,[],male,2,110,13
Andrés Calamaro,Andrés Calamaro,,spotify:artist:3tAICgiSR5PfYY4B8qsoAU,68,"['Pop', 'Tango', 'Rock', 'Reggae', 'Alternative']",male,1,41,6
