,nombre
541,Gonzalo Aloras
542,Goy Karamelo
543,Goy Ogalde
544,Goyo Degano
545,Graciela Carabajal
546,Graciela Oddone
547,Gringui Herrera
548,Grupo Cali
549,Grupo Vocal Argentino
550,Guadalupe Gómez
551,Guadalupe Raventos
552,Guazú
553,Guido Sava
554,Guillermo Barbieri
555,Guillermo Beresñak
556,Guillermo Bonetto
557,Guillermo Coral
558,Guillermo Fernández
559,Guillermo Klein
560,Guillermo Rico
561,Guillermo Rubino
562,Guillermo Vadala
563,Gus Goncalves
564,"Gustavo ""Cuchi"" Leguizamon"
565,Gustavo Bergalli
566,Gustavo Beytelmann
567,Gustavo Cerati
568,Gustavo Cordera
569,Gustavo Giannini
570,Gustavo Lamas
571,Gustavo Musso
572,Gustavo Santaolalla
573,Haien Qiu
574,Halpe
575,Hamlet Lima Quintana
576,Hector Ayala
577,Hector Palacios
578,Hector Pilatti
579,Hector de Rosas
580,Hermetics
581,Hernan Hecht
582,Hernan Ríos
583,Hernan Salinas
584,Hernán Jacinto
585,Hernán Langer
586,Hernán Lucero
587,Hernán Ortiz
588,Hernán Ríos
589,Hilda Herrera
590,Hilda Lizarazu
591,Homer El Mero Mero
592,Horacio Banegas
593,Horacio Cásares
594,Horacio Fumero
595,Horacio Guarany
596,Horacio Lagos
597,Horacio Lavandera
598,Horacio Malvicino
599,Horacio Pozzo
600,Horacio Quintana
601,Horacio Romo
602,Horacio Salgán
603,Huella Pampa
604,Hugo Del Carril
605,Hugo Del Carril con Guitarras
606,Hugo Del Carril con Orquesta
607,Hugo Diaz (Su Armónica) y sus Changos
608,Hugo Diaz Y Sus Changos
609,Hugo Diz
610,Hugo Duval
611,Hugo Díaz
612,Hugo Jordan
613,Hugo Lobo
614,Hugo Marcel
615,Hugo Romero
616,Huinca
617,Héctor Console
618,Héctor De Rosas
619,Héctor Farrel
620,Héctor Negro
621,Héctor Pacheco
622,Héctor Pilatti
623,Héctor Stamponi
624,Héctor Varela
625,"Héctor Varela ""El As Del Tango"" y su Orquesta Típica"
626,Héctor Varela El As Del Tango y su Orquesta Típica
627,Héctor Varela y su Orquesta Típica
628,Ica Novo
629,Ideal
630,Ignacio Corsini
631,Ignacio López
632,Il Carlo
633,Ilan Amores
634,Ill Quentin
635,Indio Solari
636,Inés Estévez
637,Irma Urteaga
638,Isabel De Grana
639,Isabel De Sebastian
640,Isla de Caras
641,Isla de los Estados
642,Ismael Spitalnik
643,Ivan Noble
644,JAF
645,Jacinto Piedra
646,Jaime Gosis
647,Jaime Torres
648,Jairo
649,Jairo Vera
650,Jambao
651,Jason Mowry
652,"Javier ""La Pepa"" Brizuela"
653,Javier Calamaro
654,Javier Casalla
655,Javier Cohen
656,Javier Hinojosa
657,Javier Malosetti
658,Javier Martinez Vallejos
659,Javier Montalto
660,Javier Navascués
661,Jazmin Esquivel
662,Jeebz
663,Jeronimo Carmona
664,Jimmy Y Su Combo Negro
665,Jin Yerei
666,Joan Sprei
667,Joaquín Levinton
668,Joaquín Mora
669,John C
670,Jordan Grigg
671,Jorge Anders
672,Jorge Araujo
673,Jorge Calandrelli
674,Jorge Caldara
675,Jorge Cardoso
676,Jorge Casal
677,Jorge Cumbo
678,Jorge Falcón
679,Jorge Fandermole
680,Jorge Giuliano
681,Jorge Gomez Crespo
682,Jorge González
683,Jorge Labanca
684,Jorge Lopez Ruiz
685,Jorge Luis Borges
686,Jorge López Ruiz
687,Jorge Maciel
688,Jorge Maronna
689,Jorge Morel
690,Jorge Navarro
691,Jorge Omar
692,Jorge Ortiz
693,Jorge Rojas
694,Jorge Serrano
695,Jorge Sobral
696,Jorge Vidal
697,Jose Basso
698,Jose Luis Merlin
699,Jose Pascual
700,Jose Ricardo
701,José Bohr
702,José Bragato
703,José Carli
704,José Colangelo
705,José Colángelo
706,José Francisco Ingaramo
707,José Gonzalez Castillo
708,José Luis Colzani
709,José Maria Saluzzi
710,José María Suñé
711,José Ricardo
712,Juan Bautista Guido
713,Juan Bayon
714,Juan Caldarella
715,Juan Canosa
716,Juan Carlos Baglietto
717,Juan Carlos Caceres
718,Juan Carlos Cambon y Su Orquesta
719,Juan Carlos Cambón
720,Juan Carlos Casas
721,Juan Carlos Cobian
722,Juan Carlos Cobián
723,Juan Carlos Cobos
724,Juan Carlos Godoy
725,Juan Carlos Ingaramo
726,Juan Carlos Miranda
727,Juan Carlos Rolón
728,Juan Carlos Thorry
729,Juan Carlos Tolosa
730,Juan Carlos Zorzi
731,Juan Cruz De Urquiza
732,Juan Darthes
733,Juan De Dios Filiberto
734,Juan Esteban Cuacci
735,Juan Falú
736,Juan Haymes
737,Juan Ignacio Sueyro
738,Juan Ingaramo
739,Juan José Castro
740,Juan José Mosalini
741,Juan Lauga
742,Juan Luqui
743,Juan Pablo Di Leone
744,Juan Pablo Navarro
745,Juan Parga
746,Juan Puey
747,Juan Quintero
748,Juan Ramon
749,Juan Salinas
750,Juan Sebastian Delgado
751,Juanchi Baleiron
752,Juanchi Baleirón
753,Juanito El Cantor
754,Juanjo Dominguez
755,Juanjo Mosalini
756,Juanse
757,Julia Morgado
758,Julia Zenko
759,Julian Kartun
760,Julian Plaza
761,Julian Sanza
762,Julian Vat
763,Juliana Gattas
764,Julieta Laso
765,Julio Cortázar
766,Julio De Caro
767,Julio Domínguez
768,Julio Franchi
769,Julio Martel
770,Julio Martinez
771,Julio Martinez Oyanguren
772,Julio Pane
773,Julio Santillan
774,Julián Aguirre
775,Junior P
776,Junior P Jahorah
777,Justo Lamas
778,K4
779,KAKTOV
780,KHEA
781,KR3TURE
782,Kaktov
783,Kaleb Di Masi
784,Kaleema
785,Kali Sandoval
786,Kangrejoz
787,Kapanga
788,Karamelo Santo
789,Karen Méndez
790,Karin Lechner
791,Karin Lechner | Sergio Tiempo
792,Karina
793,Karina Cohen
794,Kashmir Orquesta
795,Kevin Johansen
796,Kid Munni
797,Kiddo Toto
798,King Clave
799,King Coya
800,Klan
801,Kodigo
802,Kris Alaniz
803,Kumbia Queers
804,L-Gante
805,LIT killah
806,LOUTA
807,LUVI TORRES
808,La Barra
809,La Bomba de Tiempo
810,La Bruja Salguero
811,La Chilinga
812,La Chimera
813,La Contreras
814,La Delio Valdez
815,La Duraca
816,La Fuerza Suave
817,La Konga
818,La Mississippi
819,La Mona Jimenez
820,La Perra Que Los Parió
821,La Renga
822,La Repandilla
823,La Viajerita
824,La Yegros
825,Lagartijeando
826,"Lagartijeando, Sajra"
827,Lali
828,Lalo De Los Santos
829,Lalo Martel
830,Lalo Schifrin
831,"Lalo Schifrin Conducts Stravinsky, Schifrin, And Ravel"
832,Lara91k
833,Las Pelotas
834,Las manos de Filippi
835,Lauphan
836,Lautaro Heredia
837,Le Freak Selector Remix
838,Leandro Fresco
839,Leda Valladares
840,Leo Dan
841,Leo García
842,Leo Genovese
843,Leo Sujatovich
844,Leo Villagra
845,Leonardo Suarez Paz
846,Leopoldo Deza
847,Leopoldo Federico
848,Leopoldo Federico Cuarteto
849,León Gieco
850,Libertad Lamarque
851,Lidia Borda
852,Ligia Piro
853,Lil Troca
854,Liliana Herrero
855,Liliana Rodriguez
856,Liliana Vitale
857,Liliana Zavala
858,Lilián Saba
859,Lisandro Aristimuño
860,Lita Morales
861,Literal
862,Lito Cruz
863,Lito Epumer
864,Lito Vitale
865,Litto Nebbia
866,Lo' Pibitos
867,Lola Arias
868,Lola Ponce
869,Loli Molina
870,Lolita Torres
871,Lolo Micucci
872,Lorelei Taron
873,Lorena Astudillo & Daniel Maza
874,Los Abuelos De La Nada
875,Los Alonsitos
876,Los Auténticos Decadentes
877,Los Besos
878,Los Caligaris
879,Los Chakales
880,Los Charros
881,Los Fabulosos Cadillacs
882,Los Fronterizos
883,Los Fundamentalistas del Aire Acondicionado
884,Los Guarros
885,Los Manseros Santiagueños
886,Los Músicos del Centro
887,Los Nocheros
888,Los Nuñez
889,Los Palmeras
890,Los Piojos
891,Los Reyes del Falsete
892,Los Tekis
893,Los Tipitos
894,Los Tucu Tucu
895,Lovorne
896,Lucas & The Woods
897,Lucas González Yancamil
898,Lucas Martí
899,Lucho Gonzalez
900,Lucho SSJ
901,Lucia Galan
902,Luciana Corral
903,Luciana Jury
904,Luciana Tagliapietra
905,Luciano Leocata
906,Luciano Napolitano
907,Luciano Pereyra
908,Lucila Dominguez
909,Lucio Demare
910,Lucio Mantel
911,Lucy Patané
912,Lucía Boffo
913,Luis Alberto Spinetta
914,Luis Bacalov
915,Luis Borda
916,Luis Brighenti
917,Luis Diaz
918,Luis Díaz
919,Luis Gaeta
920,Luis Gianneo
921,Luis Gurevich
922,Luis Salinas
923,Luis Sebastian
924,Luis Teisseire
925,Lula Bertoldi
926,Lulacruza
927,Lulo Isod
928,Luna Monti
929,Luvi Torres
930,Lía Cimaglia Espinosa
931,MANU OLIVA
932,MAX
933,MYA
934,Magdalena Fleitas
935,Magui Olave
936,Maia Reficco
937,Mala Fama
938,Malena Villa
939,Manu Caizza
940,Manu Martínez
941,Manu Rg
942,Manu Sija
943,Manuel Fraga
944,Manuel Gomez Carrillo
945,Manuel Moretti
946,Manuel Sucher
947,Manuel Wirzt
948,Marcela Morelo
949,Marcela Roggeri
950,Marcelo Baraj
951,Marcelo Chiodi
952,Marcelo Coronel
953,Marcelo Corvalan
954,Marcelo Delgado
955,Marcelo Gomez
956,Marcelo Nisinman
957,Marcelo Peralta
958,Marcelo Torres
959,Marcelo Álvarez
960,Marcianos Crew
961,Marcos Cabezaz
962,Maria Becerra
963,Maria De La Fuente
964,Maria Graña
965,Maria José Demare
966,Maria Volonte
967,Mariana Baraj
968,Mariana Bianchini
969,Mariana Coronel
970,Mariana Kesselman
971,Mariana Päraway
972,Mariano Castro
973,Mariano Delgado
