,cancion
3272,El Felipe
3273,El Fiero
3274,El Fin
3275,El Fin de la Noche
3276,El Fuegazo de Tus Ojos - Remasterizado
3277,El Fuego Cálido
3278,El Gallo - Remasterizado
3279,El Gato Confite
3280,El Gato Confite
3281,El Gato De Carlos
3282,El Gato Negro
3283,El Gato de la Fiesta
3284,El Gato de la Fiesta
3285,El Gato de la Fiesta
3286,El Gato y la Lagartija
3287,El Gaucho (with Pedro Aznar)
3288,El Gordo Triste (with Orquesta Tipica Porteña)
3289,El Gran Imaginador
3290,El Gran Poder - Demo
3291,El Gringo Bonachón - Remasterizado
3292,El Guardian
3293,"El Hombre De La Esquina Rosada - Suite Para Recitante, Canto y Doce Instrumentos"
3294,El Hombre Que Amaba a Todas las Mujeres
3295,El Hombre Suburbano
3296,El Huaico
3297,El Huayra Muyol
3298,El Huayra Muyol
3299,El Huayra Muyol
3300,El Humauaqueño
3301,El Humauaqueño
3302,El Humauaqueño
3303,El Huérfano - Remasterizado
3304,El Impenetrable (feat. Charo Bogarín & Mariana Baraj)
3305,El Impenetrable (feat. Charo Bogarín & Mariana Baraj)
3306,El Ingeniero - 2ª Versión
3307,El Inmigrante
3308,El Inmigrante
3309,El Inmigrante
3310,El Internado
3311,El Jagüel - 1ª Versión
3312,El Jagüel - 2ª Versión
3313,El Jardín del Amor - Remasterizado
3314,El Juego de la Luna
3315,El Lazarillo (with Peteco Carabajal)
3316,El Listón - Remasterizado
3317,El Lloron
3318,El Loco
3319,El Loco de Acá a la Vuelta
3320,El Mal
3321,El Mal
3322,El Mal Que Me Hiciste - Remasterizado
3323,El Mareo - Remasterizado
3324,El Marginal - Bonus Track
3325,El Martillo de las Brujas (Malleus Maleficarum)
3326,El Mate Amargo
3327,El Mayoral Del Tranvia
3328,El Mensu
3329,El Mensú
3330,El Metejon
3331,El Metejón
3332,El Metejón - Buenos Aires 16/12/1958 [Restauración 2021]
3333,El Mirlo
3334,El Mismo Dolor
3335,El Momento de Tu Historia
3336,El Monito - Radio Edit
3337,El Moro - Buenos Aires 27/11/1941 (Restauración 2022)
3338,El Morocho Y El Oriental - Gardel - Razzano
3339,El Mortero del Globito
3340,El Motivo
3341,El Motivo (with Orquesta Tipica Porteña)
3342,El Motivo - Con Antonio Carrizo en ¨la Vida y el Canto¨
3343,El Moño Rojo - Remasterizado
3344,El Mulkurul
3345,El Mundo Que Yo No Viva
3346,El Mundo de los Dos (with Héctor de Rosas)
3347,El Murguero - MTV Unplugged
3348,El Naranjerito
3349,El Negro Felipe
3350,El Nieto (De Hooker)
3351,El Niño Canibal
3352,El Niño Jacinto
3353,El Niño de las Monjas - Remasterizado
3354,El Nochero
3355,El Nuevo Steve Mcqueen
3356,El Nuevo Tango - Instrumental
3357,El Nuevo Testamento
3358,El Olvidao
3359,El Once - 1a Version
3360,El Once - 2ª Versión
3361,El Oso
3362,El Otro Cambio los Que Se Fueron
3363,El Otro País (Vivo Teatro Coliseo)
3364,El Paraguero - Remasterizado
3365,El Paraná
3366,El Parrandero
3367,El Paso del Pollo
3368,El Pato De La Z
3369,El Payador - Remasterizado
3370,El Payaso Sin Cabeza
3371,El Pedaleo
3372,El Pedido
3373,El Pedigüeño
3374,El Peluquero
3375,El Perfume de las Rosas - Remasterizado
3376,El Pescador
3377,El Pescante - Remasterizado
3378,El Pibe Acedece
3379,El Pibe en Israel
3380,El Picaflor - Remasterizado
3381,El Pingo de Pascual - Remasterizado
3382,El Pintao (feat. Antonio Tarragó Ros)
3383,El Piropo
3384,El Poema Perdido
3385,El Poeta de Varela
3386,El Pollero
3387,El Pollo Ricardo
3388,El Pollo Ricardo - 2ª Versión
3389,El Poncho del Amor - Remasterizado
3390,El Portenito
3391,El Portenito
3392,El Portenito
3393,El Portenito
3394,El Porteño - Remasterizado
3395,El Pregón - Remasterizado
3396,El Principio del Cielo
3397,El Probador
3398,El Pueblero - Remasterizado
3399,El Puente
3400,El Puente De Los Suspiros
3401,El Purilo
3402,El Puñal Sevillano
3403,El Pájaro Que Hiere
3404,El Pájaro Que Hiere
3405,El Pájaro Vió el Cielo y Se Voló (Ft. Ulises Bueno) - MTV Unplugged
3406,El Que Afloja Pierde
3407,El Que Con Chicos Se Acuesta - Remasterizado
3408,El Que a Hierro Mata - Remasterizado
3409,El Que la Seca la Llena
3410,El Quemado
3411,El Quinielero - Remasterizado
3412,El Rancho Abandonado
3413,El Recuerdo de los Tangos - Remasterizado
3414,El Reino del Revés
3415,El Reino del Revés
3416,El Resto de Mis Días
3417,El Retorno de Nadie Es Tan Importante Como Uno Cree (Dos)
3418,El Ritmo Que Viaja
3419,El Ritmo de la Vida
3420,El Rococo
3421,El Rodeo - Remasterizado
3422,"El Ruiseñor, el Amor y la Muerte"
3423,El Río y Tu
3424,El Sabor de Tu Boca
3425,El Sainete del Diablo
3426,El Saleroso
3427,El Salmón
3428,El Sampedrino
3429,El Sampedrino (Doce Canciones Populares)
3430,"El Sampedrino, (Viola and Piano) Arr. Kashkashian / Levin: II. from Canciones Populares - Instrumental"
3431,El Santo de la Espada - Remasterizado
3432,El Secreto de la Vida (O Segredo da Vida)
3433,El Serrucho (I)
3434,El Serrucho (I)
3435,El Serrucho (I)
3436,El Serrucho (II)
3437,El Serrucho (II)
3438,El Serrucho (II)
3439,El Show del Perro Salchicha
3440,El Show del Perro Salchicha
3441,El Shuffle de Julito
3442,El Silbido (La Chiflada)
3443,El Silbido - Remasterizado
3444,El Sodero de Mi Vida
3445,El Sol
3446,El Sol Del Veinticinco
3447,El Sol Está Saliendo
3448,El Sol de Mi Casa
3449,El Sol del 25 - Remasterizado
3450,El Sombrerito
3451,El Soñador - Remasterizado
3452,El Spleen de Boedo
3453,El Subidón
3454,El Subidón
3455,El Sueño De La Muñeca
3456,El Sueño de Celedonio Olmos
3457,El Sueño de la Calle Nueva York
3458,El Sueño de la Mariposa
3459,El Sueño de los Viajeros (feat. Leo Garcia)
3460,El Sueño del Pibe
3461,El Sueño del Pipe
3462,El Sur de la Ciudad
3463,El Surco
3464,El Sí del Viento
3465,El Tabano en la Oreja
3466,El Tango
3467,El Tango
3468,El Tango Es Una Historia
3469,El Tango Es el Tango
3470,El Tango de la Mula - Remasterizado
3471,El Target
3472,El Tesoro de los Inocentes
3473,El Tiempo Es Veloz (feat. Fito Paez)
3474,El Tiempo No Es Pa' Casorios - Remasterizado
3475,El Tigre Millan - Remasterizado
3476,El Tigre y el Dragón (feat. Abel Pintos)
3477,El Tiki Tiki
3478,El Tilin Tilin
3479,El Tilin Tilin
3480,El Timbero - Remasterizado
3481,El Titere
3482,El Titere
3483,El Titere
3484,El Titere
3485,El Torito
3486,El Trabajo
3487,El Trabajo
3488,El Traidor
3489,El Traidor - Remasterizado
3490,El Trapero
3491,El Trapero - Remasterizado
3492,El Travieso
3493,El Travieso
3494,El Travieso
3495,El Tren
3496,El Tren de las 16
3497,El Triunfo de Tus Ojos - Remasterizado
3498,El Tropero del Amor - Remasterizado
3499,El Trovero (Yo Te Imploro)
3500,El Trovero - Remasterizado
3501,El Tío Alberto en el Día de la Bicicleta
3502,El Títere
3503,El Ultimo Adiós
3504,El Ultimo Farol
3505,El Umbral de Dios
3506,El Último Adiós - Remastered
3507,El Vals De La Noche Buena
3508,El Vals de la Duna
3509,El Vals de la Duna
3510,El Vals de la Duna
3511,El Vals de la Duna
3512,El Vals de la Nochebuena - Remasterizado
3513,El Vals de los Recuerdos
3514,El Vals de los Recuerdos
3515,El Vals de los Recuerdos
3516,El Vals del Amor - Remasterizado
3517,El Vals del Estudiante - Remasterizado
3518,El Vals del Soñador
3519,El Vals y Tu
3520,El Vazquito
3521,El Ventajao
3522,El Ventajao
3523,El Ventajao
3524,El Viaje (with Carlos Aguirre)
3525,El Viaje Interior
3526,El Viaje de John Pez
3527,El Viaje de John Pez
3528,El Viejito del Acordeon
3529,El Viejito del Acordeón
3530,El Viejito del Acordeón - Remasterizado
3531,El Viejo
3532,El Viejo Amor
3533,El Viejo Cuco
3534,El Viejo Matias
3535,El Viejo Matías (Vivo Teatro Coliseo)
3536,El Viejo Matías (with Ricardo Mollo & Franco Luciani)
3537,El Viejo Matías (with Ricardo Mollo & Franco Luciani)
3538,El Viejo No Está (with Jorge Falcón & Diego Solís)
3539,El Viejo No Está (with Jorge Falcón & Diego Solís)
3540,El Viejo Vals - Remasterizado
3541,El Viejo Zoilo - Remasterizado
3542,El Viente De Verdad
3543,El Viento que Va
3544,El Viento que Va
3545,El Viento y la Rutina
3546,El Viento y la Rutina
3547,El Vino Triste - Remasterizado
3548,El Violin
3549,El Violín De Becho
3550,El Vuelo Del Moscardón
3551,El Zapateo
3552,El Zapateo
3553,El Zorro
3554,El abrojito
3555,El abuelo
3556,El alero
3557,El amanecer
3558,El amor es un francotirador
3559,El amor es un francotirador II
3560,El amor es una nube
3561,El arranque
3562,El arranque
3563,El arranque
3564,El arte de cebar (The Art of Serving Mate): Mate caliente (Hot Mate)
3565,El arte de cebar (The Art of Serving Mate): Mate dulce (Sweet Mate)
3566,El as de los Ases - Remastered
3567,El baño
3568,El bulin de la calle Ayacucho
3569,El candombe
3570,El cantar de aquel malevo
3571,El cantor de Buenos Aires
3572,El cauce y el agua
3573,El choclo
3574,El cielo en las manos
3575,El cielo en las manos
3576,El ciruja
3577,El clásico
3578,El corazon me decia
3579,El cualunque
3580,El cuarteador
3581,El desafio
3582,El desafio
3583,El dia de tu ausencia
3584,El dia que me quieras
3585,El dia que me quieras (arr. J. Carli)
3586,El dia que me quieras (arr. J. Carli)
3587,El dia que me quieras (feat. Susan Rinaldi & Walter Rios)
3588,El diapasón
3589,El diminuto Juan
3590,El diminuto Juan
3591,El día de tu ausencia
3592,El día que me quieras
3593,El día que me quieras - original version
3594,El extrañante
3595,El federal
3596,El hijo cruel
3597,El hijo triste
3598,El hombre y el agua
3599,El hombre y el agua
3600,El hombre y el agua
3601,El hombre y el agua
3602,El huracan
3603,El indio muerto(Zamba)
3604,El inquilino
3605,El internado
3606,El invierno
3607,El libro de la noche
3608,El lloron
3609,El llorón
3610,El macho del siglo
3611,El manisero
3612,El mareo
3613,El marne
3614,El marne
3615,El marne
3616,El mate amargo
3617,El mensu
3618,El mensu
3619,El metejon
3620,El monito
3621,El navegante quieto
3622,"El nuevo tango - Violin, Violoncello & Piano"
3623,El olvidau - Chacarera del olvidao
3624,El olvidau - Chacarera del olvidao
3625,El olvidau - Chacarera del olvidao
3626,El once (A divertirse)
3627,El paladìn
3628,El paño moruño
3629,El peluquero
3630,El pony y yo
3631,El pua - Instrumental (Remasterizado)
3632,El que a hierro mata
3633,El rebelde
3634,El rodeo
3635,El silbador
3636,El solitario
3637,El solitario
3638,El sueño de una noche de verano: Artisane (Arr. para Flauta e Piano)
3639,El sueño de una noche de verano: Dansée (Arr. para Flauta e Piano)
3640,El sueño de una noche de verano: Duo (Arr. para Flauta e Piano)
3641,El sueño de una noche de verano: Milonga (Arr. para Flauta e Piano)
3642,El sueño de una noche de verano: Overture (Arr. para Flauta e Piano)
3643,El sueño de una noche de verano: Sensuel (Arr. para Flauta e Piano)
3644,El sueño del pibe
3645,El sueño del pibe
3646,El taladro
3647,El tarco en flor
3648,El tobiano
3649,El tábano
3650,El tábano
3651,El témpano - Vivo en el Teatro Opera
3652,El ultimo adios
3653,El vals de los recuerdos
3654,El ventajao
3655,El viejo amor
3656,El yeso
3657,El Ángel De La Bicicleta
3658,El Ángel Milonguero
3659,El Ángel de Alejandra
3660,El Ángel de la Bicicleta (with Gustavo Cordera)
3661,El Ángel del Suburbio
3662,El Último Aviso
3663,El Último Beso
3664,El Último Café (Bandoneón)
3665,El Último Golpe - Remasterizado
3666,El Último Guapo
3667,El Último Juglar
3668,El Último Romántico
3669,El Último Sapukay
3670,El Último Viaje
3671,El Último Zorzal
3672,El último café
3673,El último organito - Remastered
3674,Elefante marino
3675,Elegante Canyenguito
3676,Elegia
3677,Elegia por la muerte de un tanguero (Elegy for the Death of a Tango Player): I. Confuseta (In Confusion)
3678,Elegia por la muerte de un tanguero (Elegy for the Death of a Tango Player): II. En melancolia (In Melancholy)
3679,Elegia por la muerte de un tanguero (Elegy for the Death of a Tango Player): III. Epilogo (Epilogue)
3680,Elegia: I. Allegro non tanto
3681,Elegia: Presto
3682,Elegie
3683,Elegía por la Muerte de un Guerrero - Intro
3684,Elegía por la Muerte de un Guerrero - Outro
3685,Elgua
3686,Ella (with León Gieco)
3687,Ella Baila
3688,Ella Canta
3689,Ella Dice
3690,Ella Es Asi
3691,Ella Es Mi Bitch
3692,Ella Es Mi Caramelo - Remasterizado
3693,Ella Es de Allá & Coplas Riojanas - Recitado
3694,Ella Es una G
3695,Ella Tiene la Costumbre (with Waldo De Los Rios Y Su Orquesta)
3696,Ella o la Botella
3697,Ella y él
3698,"Ella, Él y Nosotros"
3699,Elliptical Orbit
3700,Elogio del Viento
3701,Elogio del Viento
3702,Elogio del zonda
3703,Eloisa
3704,Elvira
3705,Elvira - Remasterizado
3706,Elégie
3707,Embrujo
3708,Emma Toca Schumann - Reprise
3709,Emoción de Fan
3710,Empty (feat. C.R.O)
3711,En 3 X 4
3712,En Aquel Amor
3713,En Aquel Amor
3714,En Bateau
3715,En Blanco y Negro (Buenos Aires)
3716,En Busca 'E Cariño
3717,En Busca de Verdes
3718,En Busca de un Sueño
3719,En Cada Latir
3720,En Cada Puerto un Adiós
3721,En Carne Propia
3722,En Carne Propia - Remastered
3723,En Casa de Mariquita
3724,En Caso de Vida
3725,En Danza
3726,En El Lago Azul - Remastered
3727,En El Viejo Café
3728,En Espiral - Pyura Remix
3729,En Esta Tarde Gris - Remasterizado
3730,En Esta Tarde Grís
3731,En Este Rincón Amigo
3732,En Falsa Escuadra - Remasterizado
3733,En Jerez de la frontera
3734,En Lo Que Creo Me Convierto
3735,En Medio de los Hombres
3736,En Mi Cuarto
3737,En Mi Memoria
3738,En Mi Memoria
3739,En Mi Rancho Hay un Zorzal
3740,En Mis Ojos Hallarás la Respuesta - Remasterizado
3741,En Mis Sueños
3742,En Otro Momento
3743,En Otros Caminos
3744,En Otros Caminos
3745,En Puntas de Pie - Remasterizado
3746,En Que Nos Parecemos
3747,En Qué Nos Parecemos
3748,En Relación
3749,En Secreto
3750,En Setiembre Tu Fuiste Mía
3751,En Sombras Tu
3752,En Tren de Lujo
3753,En Tus Ojos de Cielo
3754,En Un Beso La Vida
3755,En Voz Baja - Remasterizado
3756,En blanco y negro
3757,En blanco y negro - Vivo en el Teatro Opera
3758,En cada puerto un adios
3759,En cuero y en patas
3760,En el Baile de Misia Pancha
3761,En el Baile de ña Fabiana - Remasterizado
3762,En el Escenario
3763,En el Lago Azul
3764,En el Maizal
3765,En el País de Nomeacuerdo
3766,En el Salón
3767,En el Silencio de la Noche - Remasterizado
3768,En el Séptimo Día (Homenaje a Soda Stereo)
3769,En el Tuco
3770,En el Viejo Café - Remasterizado
3771,En el fondo del mal
3772,En el lago azul
3773,En el lago azul
3774,En el salon
3775,En la Calle
3776,En la Ciudad de la Furia
3777,En la Madrugada - Cover
3778,En la Madrugada - Cover
3779,En la Mesa
3780,En la Noche Azul - Remasterizado
3781,En la Noche de Tus Ojos
3782,En la Noche de Tus Ojos - Remasterizado
3783,En la Noria
3784,En la Oscuridad
3785,En la Palmera - Remasterizado
3786,"En la Tierra el Sol - From ""Toda Canción Será Plegaria"" (Litto Nebbia & Mirtha Defilpo, 1979)"
3787,En la Trampa - Remasterizado
3788,En la Tranquera - Remasterizado
3789,En la Vereda del Sol
3790,En la huella del dolor
3791,"En la sierra Suite, Op. 32: No. 1. La colina sombreada"
3792,"En la sierra Suite, Op. 32: No. 2. Insectos y lagartijas"
3793,"En la sierra Suite, Op. 32: No. 3. Rama de piquillin"
3794,"En la sierra Suite, Op. 32: No. 4. El rancho abandonado"
3795,"En la sierra Suite, Op. 32: No. 5. Cortejo campestre"
3796,En las Sombras - Remasterizado
3797,En otros caminos
3798,En otros caminos
3799,En secreto
3800,En secreto
3801,En tus brazos
3802,En un Andén Lejano
3803,En un Andén Lejano
3804,En un Barco Velero - Remasterizado
3805,En un Beso la Vida
3806,En un Beso... La Vida
3807,En un Beso... La Vida - Remasterizado
3808,En un Beso... la Vida - Remastered
3809,En un Boliche - Remasterizado
3810,En un Bosque de la China (feat. Atilio Bruni y Su Orquesta)
3811,En un Pueblito de España - Remasterizado
3812,En un Rancho de Mi Pago
3813,En un Rincon de Sevilla
3814,En un Rincón
3815,En un Rincón de Hungría
3816,En un Rincón de Hungría - Remasterizado
3817,En un Sueño Te Perdí (with Jorge Falcón)
3818,En un Tiroteo Con Su Sombra
3819,En un beso la vida
3820,En un feca
3821,Enamorada del Diablo
3822,Enamorado Estoy (with Héctor de Rosas)
3823,Enamorado Estoy (with Héctor de Rosas)
3824,Enamorado estoy
3825,Encantamiento (Seis Canciones de Cuna)
3826,Encanto - Remasterizado
3827,Encuentro - Remasterizado
3828,Encuentro Fantasma
3829,Encuentro I
3830,Encuentro II
3831,Encuentro en el Bar
3832,Encuentro en el puente de la mujer
3833,Ende
3834,Endrogada en Adrogué
3835,Energía Campo
3836,Energía Deportes
3837,Energía Esto Pasa Ahora
3838,Energía Informativo
3839,Energía Tiempo
3840,Energía Tránsito
3841,Enfrentados
3842,Engañame Nomás - Remasterizado
3843,Engominado - Remasterizado
3844,Enjoy Yourself
3845,Enloquecerte
3846,Enrique Santos Discepolo
3847,Ensalada
3848,Ensalada Mixta
3849,Ensayo Sin Aire
3850,Ensueño - Remastered
3851,Ensueños
3852,Ensueños - Instrumental
3853,Entero o a Pedazos
3854,Entero o a Pedazos
3855,Entidad Musical
3856,Entidad Musical
3857,Entra En Mi Vida
3858,Entra Sin Miedo Hermana - Remastered
3859,Entrarse
3860,Entre Cuatro Paredes
3861,Entre Cuatro Paredes
3862,Entre Milonga y Malambo
3863,Entre No Más
3864,Entre Nosotros
3865,Entre Nosotros (Remix) [con Nicki Nicole]
3866,Entre Nosotros (Remix) [con Nicki Nicole]
3867,Entre Nosotros (Remix) [con Nicki Nicole]
3868,Entre Pitada Y Pitada
3869,Entre Pitada y Pitada
3870,Entre Rejas Invisibles - Remasterizado
3871,Entre Rios
3872,Entre San Juan y Mendoza - Remasterizado
3873,Entre Suenos
3874,Entre Sueños
3875,Entre Tangos y Champagne
3876,Entre Tu Amor Y Mi Amor
3877,Entre Tu Amor y Mi Amor
3878,Entre el rayo y el trueno
3879,Entre los tabacales
3880,Entre tango y tango... tango - Remastered
3881,Entre un Cubano y un San Martín - Remasterizado
3882,Entretanto - Remasterizado
3883,Entretanto - Remasterizado
3884,Entrá Nomas - Remasterizado
3885,Entrá Nomás
3886,Envidia - Remasterizado
3887,Envión
3888,Epabilate
3889,Episodio 3 - Segunda Temporada
3890,Equipache
3891,Equipaje - Cover
3892,Equipaje - Remastered
3893,Era De Uranio
3894,Era de Ley
3895,Era de Ley - Remasterizado
3896,Era en abril - Vivo en el Teatro Opera
3897,Era mi vida
3898,Era un Gitanillo - Remasterizado
3899,Eramos Tres
3900,Eramos tan jovenes (arr. J. Carli)
3901,Eras Como La Flor
3902,Eres Alta y Delgada
3903,Eres Para Mí
3904,Eres Para Mí
3905,Ermitaño - Vivo Luna Park
3906,"Ernani, Act I: Ernani, Involami"
3907,Es Costumbre O Es Cariño
3908,Es En Vano Llorar
3909,Es Igual Arriba y Abajo
3910,Es Mejor
3911,Es Mejor - Remasterizado
3912,Es Mejor Perdonar - Remasterizado
3913,Es Muy Poco y Es Muy Tarde
3914,Es Para Mi
3915,Es Por Ti
3916,Es Preciso Que Te Vayas
3917,Es Sudamerica Mi Voz
3918,Es Tan Grande Este Amor
3919,Es Una Nube No Hay Duda
3920,Es ella
3921,Es mi nina bonita
3922,Es por Hoy
3923,Es preciso que te vayas
3924,Esa Es Mi Patria - Remasterizado
3925,Esa Forma de Viajar
3926,Esa Musiquita (Vivo Teatro Coliseo)
3927,Esa Musiquita (with Teresa Parodi)
3928,Esa Que Pasó
3929,Esa Tarde
3930,Esa Tarde
3931,Esa Tarde
3932,Esa tristeza
3933,Esas Cosas (with Waldo De Los Rios Y Su Orquesta)
3934,Escalera Real - Remix
3935,Escaleras
3936,Escalénicas: Compulsivo
3937,Escalénicas: Esotérico
3938,Escalénicas: Luminoso
3939,Escape (Feat. Blitto)
3940,Escape a Plutón
3941,Escena del crimen
3942,Escenas Argentinas: I. Dìa de fiesta
3943,Escenas Argentinas: II. El arroyo
3944,Escenas Argentinas: III. La campera
3945,Escenas de la Guerra
3946,Esclavas Blancas - Remasterizado
3947,Escobita de Pichana
3948,Escondido del Charatero
3949,Escribile al Comisario
3950,Escribile al Comisario - Remasterizado
3951,Escualo
3952,Escualo (Arranged by Maja Lisac Barroso)
3953,Escuchame Entre el Ruido
3954,Escuchame Manon
3955,Escuchame Negra - Remasterizado
3956,Escuchame manon
3957,Escuchame manon
3958,Escúchame Manon
3959,Esdrújulas
3960,Ese Amigo del Alma
3961,Ese Arar en el Mar
3962,Ese Impulso Superior
3963,Ese Mensaje
3964,Ese Sos Vos
3965,Ese Sos Vos - Buenos Aires 23/12/1941 (Restauración 2022)
3966,Ese Tren (feat. Skay Beilinson)
3967,Esfinge - Remasterizado
3968,España Mia - Remasterizado
3969,España y Argentina - Remasterizado
3970,Española Rebonita
3971,Espejo Gris
3972,Espejo de Agua
3973,Espejo de Agua
3974,Esperame en el cielo
3975,Esperando Nacer
3976,Esperando Tu Regreso (with Jorge Rojas) - Corazón
3977,Esperando al sol
3978,Esperando por Vos
3979,Esperanza - Remasterizado
3980,Espere Capitán
3981,Espérame En El Cielo - Remastered
3982,Espigas - Instrumental (Remasterizado)
3983,Espuma de Mar
3984,Esquecimento
3985,Esquina de Antaño
3986,Esquinas Portenas
3987,Esquinas Porteñas
3988,Esquinas Porteñas - Remasterizado
3989,Esta Noche (feat. Big One)
3990,Esta Noche - Remasterizado
3991,Esta Noche Me Despido - Remasterizado
3992,Esta Noche Me Emborracho
3993,Esta Noche Me Quedo a Tu Lado - Remasterizado
3994,Esta Noche al Pasar
3995,Esta Noche de Copas (with Jorge Falcón)
3996,Esta Noche de Luna - Remastered
3997,Esta Tarde Vi Llover / Somos Novios
3998,Esta Vuelta Pago Yo - Remasterizado
3999,Esta en Tus Manos
4000,Esta en Tus Manos
4001,Esta noche al pasar
4002,Esta noche de luna
4003,Estaba Bien Seguro
4004,Estaba Donde Estoy Yo (with Waldo De Los Rios Y Su Orquesta)
4005,Estabas... Estás
4006,Estabas... Estás
4007,"Estaciones Porteñas (Arr. A. Terzian for Piano Trio): No. 1, Verano Porteño"
4008,"Estaciones Porteñas (Arr. A. Terzian for Piano Trio): No. 2, Invierno Porteño"
4009,Estado De Animo
4010,Estamos locos
4011,"Estamos, estarás"
4012,Estampa Del Norte
4013,Estampa Federal
4014,Estampa Gaucha - Remasterizado
4015,Estampa Tanguera
4016,Estan Sonando las Ocho
4017,"Estancia Suite, Op. 8a: I. Los trabajadores agricolas. Tempo giusto"
4018,"Estancia Suite, Op. 8a: I. Los trabajadores agricolas: Tempo giusto"
4019,"Estancia Suite, Op. 8a: II. Danza del trigo. Tranquillo"
4020,"Estancia Suite, Op. 8a: II. Danza del trigo: Tranquillo"
4021,"Estancia Suite, Op. 8a: III. Les peones de hacienda: Mosso e ruvido"
4022,"Estancia Suite, Op. 8a: III. Los peones de hacienda. Mosso e rúvido"
4023,"Estancia Suite, Op. 8a: IV. Danza final [Malambo]: Allegro - Tempo di malambo"
4024,"Estancia Suite, Op. 8a: IV. Danza final. Allegro - Tempo di malambo"
4025,"Estancia, Op. 8: Danza final (Final Dance) (Malambo)"
4026,"Estancia, Op. 8: Idilio crepuscular (Twilight idyll)"
4027,"Estancia, Op. 8: La doma (Rodeo)"
4028,"Estancia, Op. 8: Los peones de hacienda - Entrada de los caballitos (The cattlemen - Entry of the foals)"
4029,"Estancia, Op. 8: Los puebleros (The townsfolk)"
4030,"Estancia, Op. 8: Los trabajadores agricolas (The farm labourers)"
4031,"Estancia, Op. 8: Pequena Danza (Little dance)"
4032,"Estancia, Op. 8: Pequena Danza (version for piano): Pequena danza"
4033,"Estancia, Op. 8: Scene 1: El Amanecer - Introduccion y Escena (Dawn - Introduction and Scena)"
4034,"Estancia, Op. 8: Scene 2: La Manana - Danza del trigo (Morning - Wheat Dance)"
4035,"Estancia, Op. 8: Scene 3: La tarde - Triste pampeano (Afternoon - 'Triste' from the Pampas)"
4036,"Estancia, Op. 8: Scene 4: La Noche - Nocturno (Night - Nocturne)"
4037,"Estancia, Op. 8: Scene 5: El Amanecer - Escena (Dawn - Scena)"
4038,Estar Acá
4039,Estaré
4040,Estas En Mi Ciudad
4041,Estas lista para pasar de nivel
4042,Estas llorando
4043,Estás Llorando - Remastered
4044,Este
4045,Este Amor Como un Sol
4046,Este Amor Como un Sol - Instrumental
4047,Este Es El Hombre De Hielo
4048,Este Minuto
4049,Este Rock
4050,Este Seu Olhar
4051,Este Viejo Corazon
4052,Esthercita (Milonguita)
4053,Estilo pampeano
4054,Estirpe tanguera
4055,Esto Recién Empieza
4056,Esto es La Pampa
4057,Estoy Atiborrado Con Tu Amor
4058,Estoy Buscando Un Si
4059,Estoy Buscando un Sí
4060,Estoy Buscando un Sí
4061,Estoy Buscando un Sí
4062,Estoy Que Me Muero - Remasterizado
4063,Estrella - Remastered
4064,Estrella fugaz
4065,Estrellas del Crimen
4066,Estrellita Mia - Remasterizado
4067,Estrepitosos
4068,Estudiante
4069,Estudiantina - Remasterizado
4070,Estudios Tanguísticos: Estudio 1
4071,Estudios Tanguísticos: Estudio 2
4072,Estudios Tanguísticos: Estudio 3
4073,Estudios Tanguísticos: Estudio 4
4074,Estudios Tanguísticos: Estudio 5
4075,Estuvistes bien pirulo
4076,Está Conmigo
4077,Están Sonando las Ocho
4078,Están de Fiesta en la Estancia - Remasterizado
4079,Estás En Mi Corazón
4080,Estás en Mi Corazón
4081,Estás llorando
4082,Et Titere
4083,Et Titere
4084,Etapa a Esquel
4085,Eternamente - Remastered
4086,Etéreo
4087,Eu Te Amo
4088,Euforia y Furia
4089,Evidencia
4090,"Evita, quien quiera oir que oiga: Quien quiera oir que oiga"
4091,Exelina
4092,Extiende la Superficie
4093,Extravio (arr. J. Carli)
4094,Extraños En La Noche - Strangers In The Night
4095,"Ey, You! (feat. Mala Fama)"
4096,FOCUS
4097,FOMO
4098,FT2020
4099,Fables of Faubus
4100,"Fabriquera, Fabriquera - Remasterizado"
4101,Faia Red
4102,Falando de Amor
4103,Falla: Noches en los jardines de España: I. En el Generalife
4104,Falla: Noches en los jardines de España: II. Danza lejana & III. En los Jardines de la sierra de Córdoba
4105,Falling in Love with Love
4106,Falling in Love with Love
4107,Falsa Ilusión - Remasterizado
4108,Falsedad
4109,Falsedad - Remasterizado
4110,Falsos Marineros
4111,Falta envido
4112,Faltal Y Tanguera
4113,Faltando Un Pedazo
4114,Fangal
4115,Fangal
4116,Fangal - Cover
4117,Fangal - Cover
4118,Fanny Está Sola - Remastered
4119,"Fantaisie for Piano and Orchestra, L. 73: I. Andante ma non troppo"
4120,"Fantaisie for Piano and Orchestra, L. 73: II. Lento e molto espressivo"
4121,"Fantaisie for Piano and Orchestra, L. 73: III. Allegro molto"
4122,"Fantasia for Piano Four Hands in F Minor, D. 940"
4123,Fantasias
4124,Fantasma - Leandro Fresco Remix
4125,Fantasía En Tiempo De Tango (Sobre Motivos De Monti)
4126,Fantasía de pasos largos
4127,Fantasía del octavo tono
4128,Fantasía del primero tono
4129,Farol - Astor Piazzolla
4130,Farol - Astor Piazzolla
4131,Farol de Santa Marta (Remastered 2020)
4132,Farol de los Gauchos
4133,Farolero
4134,Farolero - Remasterizado
4135,Farolito - Remasterizado
4136,Farolito Viejo - Remastered
