numero,Id,Label,id_artista,popularidad,generos_musicales,genero
425,Maria De La Fuente,Maria De La Fuente,spotify:artist:3Az9vW4q8VtWHqEvUM0zLm,1,[],female
426,Elvino Vardaro,Elvino Vardaro,spotify:artist:2AoHpFcyVBqzVSWcJZt5Gj,3,[],male
427,José Bragato,José Bragato,spotify:artist:4BRgpiaW3Bzof2rAjdNytN,0,[],male
428,Jorge Sobral,Jorge Sobral,spotify:artist:3RdDFV21hY3jng6cRWV0ai,10,['tango cancion'],male
429,Nelly Vazquez,Nelly Vazquez,spotify:artist:252RFCMkHlkKpHGN3gNB1D,2,[],female
430,Héctor De Rosas,Héctor De Rosas,spotify:artist:1oaM42TpOS3JKvoO5NAzFI,11,[],male
431,Trio Luminar,Trio Luminar,spotify:artist:5D9gNtrqcJjw9g6L6uivcN,0,[],NA
432,Astor Piazzolla Y Su Quinteto,Astor Piazzolla Y Su Quinteto,spotify:artist:0MAD29QOnu2dNgAvYNYsfa,17,[],NA
433,Ernesto Sábato,Ernesto Sábato,spotify:artist:1RhzFKc0pwYboeFXmFb2sH,5,[],male
434,Aníbal Troilo,Aníbal Troilo,spotify:artist:7zsTaSj1Q4jSCjbj5GtmoN,35,"['bandoneon', 'tango', 'vintage tango']",male
435,Roberto Goyeneche,Roberto Goyeneche,spotify:artist:3tkyefEX4NNjb0AILRLq2A,41,"['rock nacional', 'tango']",male
436,Daniel Binelli,Daniel Binelli,spotify:artist:3pI9A9672brzUyGUtkaGqh,21,['bandoneon'],male
437,Carlos Nozzi,Carlos Nozzi,spotify:artist:1YXMZPdfSoD4VhXO2FpbVw,0,[],NA
438,Gerardo Gandini,Gerardo Gandini,spotify:artist:5BvrtZLtPiMJR57CpfRYQN,3,['latin classical'],male
439,Pablo Ziegler,Pablo Ziegler,spotify:artist:3T5pmAbfrkFjPg1D2sCzDY,21,"['nuevo tango', 'tango']",male
440,Francisco Fiorentino y Su Orquestra Típica,Francisco Fiorentino y Su Orquestra Típica,spotify:artist:037yo6Le2IBvBC3Ne6AMX2,0,[],male
441,Astor Piazzolla y su Orquesta de Cuerdas,Astor Piazzolla y su Orquesta de Cuerdas,spotify:artist:2iNCGweU6jMzqorcDGFonH,1,[],NA
442,Alfredo Alcón,Alfredo Alcón,spotify:artist:5TV6Czh1RrFQlDfYP5IDhZ,0,[],male
443,Jorge Morel,Jorge Morel,spotify:artist:3PCmED1ckvLHpYTJ8VuX7N,23,"['classical guitar', 'guitarra argentina', 'latin classical']",male
444,Francisco Fiorentino Y Su Orquestra Tipica,Francisco Fiorentino Y Su Orquestra Tipica,spotify:artist:4brpPZBozmXeJ0nfSoh5D5,0,[],male
445,Victor Villadangos,Victor Villadangos,spotify:artist:4GOS7bvnz94dzQVeDgghaF,34,"['classical guitar', 'guitarra argentina', 'guitarra clasica']",male
446,SWF-Rundfunkorchester,SWF-Rundfunkorchester,spotify:artist:607tmMMhM6asSx6AWcjgy7,2,[],NA
447,Lalo Schifrin,Lalo Schifrin,spotify:artist:39iHRO9MH9To3gjW7wqaW1,42,"['classic soundtrack', 'latin classical', 'latin soundtrack', 'lounge']",male
448,Antonio Rios,Antonio Rios,spotify:artist:7s652lD4v77szrPEfgMTBi,51,"['chicha', 'cumbia chilena', 'cumbia villera']",male
449,Rodolfo Mederos,Rodolfo Mederos,spotify:artist:6eas1NblWrY95XvCm0V3zC,22,"['bandoneon', 'tango']",male
450,Jorge Luis Borges,Jorge Luis Borges,spotify:artist:7cC7jkVtiRu4JDIrG1X51P,21,[],male
451,Lito Cruz,Lito Cruz,spotify:artist:63NylTJACZNFLX8T6XUJI1,19,[],male
452,Oscar López Ruiz,Oscar López Ruiz,spotify:artist:3sZr4hd4LfebMjEvrlEd7o,19,[],male
453,Héctor Console,Héctor Console,spotify:artist:1WhJevvVMI2nQxyp2gYQTU,22,[],male
454,Orquesta Estable del Teatro Colón,Orquesta Estable del Teatro Colón,spotify:artist:5gAHakiwLZCyLvIWwgWUjJ,2,['vintage tango'],NA
455,José Carli,José Carli,spotify:artist:0WR3tGW87hKZ0hi1mj1Rhk,1,[],male
456,Roberto Yanes,Roberto Yanes,spotify:artist:36gGhh6LVf87HeDHnSQ0BD,19,[],male
457,Daniel Riolobos,Daniel Riolobos,spotify:artist:0DNtRB9Ove4aRbaBMwy9VI,20,[],male
458,Gustavo Beytelmann,Gustavo Beytelmann,spotify:artist:2PH8EDFFaImOaGSe0yXVVu,7,['tango'],male
459,Norberto Capelli,Norberto Capelli,spotify:artist:7rJOI7I6aatzsPLNjYZ5gF,0,[],male
460,Kali Sandoval,Kali Sandoval,spotify:artist:6GLA950o5qHRNVfQYhZLGq,1,[],female
461,théos,théos,spotify:artist:3zyJ0KYR7Zxowqq4T4QKru,42,['traprun'],male
462,Pimpinela,Pimpinela,spotify:artist:7E7CVSqFdLyh0K4AE9uTMo,59,"['cancion melodica', 'latin pop', 'ranchera']",NA
463,Juanjo Dominguez,Juanjo Dominguez,spotify:artist:62JdZQLVhEnorpnkE2VdPo,22,"['folklore cuyano', 'guitarra argentina']",male
464,Horacio Guarany,Horacio Guarany,spotify:artist:7exkSLWDTlXJYcmBhWp9cl,46,"['folklore argentino', 'folklore surero']",male
465,Rodrigo Tapari,Rodrigo Tapari,spotify:artist:1wkImvL5XLLhrNcmX7sVt4,55,['cumbia villera'],male
466,Sol Bassa,Sol Bassa,spotify:artist:1cttIh2Jh0yR5nxfBmRF6O,13,[],female
467,Andrea Prodan,Andrea Prodan,spotify:artist:0dvmNwYnG0qt2yVtW9P1UU,14,[],male
468,Afrosound Choir,Afrosound Choir,spotify:artist:34vV8RZzWL7Tr4J01SHUSY,22,[],NA
469,Ulises Bueno,Ulises Bueno,spotify:artist:2UqRkW2wfEkZmyvKyTTv2W,58,['cuarteto'],male
470,Los Caligaris,Los Caligaris,spotify:artist:13wFTN72PGSUxzEHJP5Ljs,63,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",NA
471,Babasónicos,Babasónicos,spotify:artist:2F9pvj94b52wGKs0OqiNi2,68,"['argentine rock', 'electronica argentina', 'latin alternative', 'latin rock', 'pop electronico', 'rock en espanol']",NA
472,Kapanga,Kapanga,spotify:artist:2MLiASzGQHVMyORIApRGsp,48,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",NA
473,Joaquín Levinton,Joaquín Levinton,spotify:artist:40YfcUtQrNSRJty5K9O3eI,13,[],male
474,Juanchi Baleiron,Juanchi Baleiron,spotify:artist:4CivXQqYkJ5ur1gzzQ9jx0,16,[],male
475,Turf,Turf,spotify:artist:0Zncosr79q01riJYbSBNA1,53,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",NA
476,Gastón Bernardou,Gastón Bernardou,spotify:artist:6bQNFS784yjIWSGmRdQlhw,0,[],NA
